2026-05-22 17:41:40,048 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:43:04,017 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 17:46:06,437 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:46:06,437 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 17:46:06,437 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 17:46:06,437 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 17:46:06,437 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 17:46:06,437 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 17:46:06,437 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 17:46:06,437 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
2026-05-22 17:46:06,438 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 17:46:32,153 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:46:32,153 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 17:46:32,153 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 17:46:32,153 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 17:46:32,153 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 17:46:32,153 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 17:46:32,154 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 17:46:32,154 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
2026-05-22 17:46:32,154 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 17:47:51,910 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:47:51,910 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 17:47:51,910 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 17:47:51,910 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 17:47:51,910 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 17:47:51,910 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 17:47:51,911 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 17:47:51,911 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
2026-05-22 17:47:51,911 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 17:48:23,556 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:48:23,556 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 17:48:23,556 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 17:48:23,556 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 17:48:23,557 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 17:48:23,557 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 17:48:23,557 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 17:48:23,557 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
2026-05-22 17:48:23,557 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 17:49:08,721 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:49:08,721 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 17:49:08,721 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 17:49:08,721 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 17:49:08,721 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 17:49:08,721 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 17:49:08,722 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 17:49:08,722 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
2026-05-22 17:49:08,722 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 17:51:40,982 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:51:40,982 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 17:51:40,982 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 17:51:40,982 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 17:51:40,982 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 17:51:40,982 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 17:51:40,982 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 17:51:40,982 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
2026-05-22 17:51:40,982 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 17:51:49,853 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:51:49,853 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 17:51:49,853 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 17:51:49,853 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 17:51:49,854 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 17:51:49,854 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 17:51:49,854 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 17:51:49,854 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
2026-05-22 17:51:49,854 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 17:52:36,681 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:52:36,681 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 17:52:36,681 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 17:52:36,681 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 17:52:36,681 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 17:52:36,681 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 17:52:36,682 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 17:52:36,682 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
2026-05-22 17:52:36,682 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 17:53:32,146 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:53:32,146 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 17:53:32,146 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 17:53:32,146 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 17:53:32,146 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 17:53:32,146 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 17:53:32,147 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 17:53:32,147 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
2026-05-22 17:53:32,147 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 17:54:01,421 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:54:01,421 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 17:54:01,422 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 17:54:01,422 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 17:54:01,422 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 17:54:01,422 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 17:54:01,422 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 17:54:01,422 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
2026-05-22 17:54:01,422 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 17:54:11,994 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:54:11,994 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 17:54:11,994 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 17:54:11,994 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 17:54:11,994 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 17:54:11,994 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 17:54:11,994 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 17:54:11,994 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
2026-05-22 17:54:11,994 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 17:59:50,487 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:59:50,487 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 17:59:50,488 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 17:59:50,488 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 17:59:50,488 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 17:59:50,488 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 17:59:50,488 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 17:59:50,488 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
2026-05-22 17:59:50,488 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 18:01:52,954 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 18:01:52,954 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 18:01:52,954 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 18:01:52,954 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 18:01:52,954 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 18:01:52,954 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 18:01:52,955 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 18:01:52,955 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
2026-05-22 18:01:52,955 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 18:06:06,215 - WARNING - Bad row in team_b.csv: {'date': 'BROKEN_DATA', 'amount': None, 'vendor': None, 'category': None}
2026-05-22 18:06:06,215 - WARNING - Bad row in team_a.csv: {'date': 'BAD_ROW', 'amount': None, 'vendor': None, 'category': None}
2026-05-22 18:06:06,216 - WARNING - Bad row in team_c.csv: {'date': 'INVALID', 'amount': None, 'vendor': None, 'category': None}
2026-05-22 18:09:24,642 - WARNING - Bad row in team_b.csv: {'date': 'BROKEN_DATA', 'amount': None, 'vendor': None, 'category': None}
2026-05-22 18:09:24,642 - WARNING - Bad row in team_a.csv: {'date': 'BAD_ROW', 'amount': None, 'vendor': None, 'category': None}
2026-05-22 18:09:24,642 - WARNING - Bad row in team_c.csv: {'date': 'INVALID', 'amount': None, 'vendor': None, 'category': None}
2026-05-22 18:10:24,290 - WARNING - Bad row in team_b.csv: {'date': 'BROKEN_DATA', 'amount': None, 'vendor': None, 'category': None}
2026-05-22 18:10:24,290 - WARNING - Bad row in team_a.csv: {'date': 'BAD_ROW', 'amount': None, 'vendor': None, 'category': None}
2026-05-22 18:10:24,290 - WARNING - Bad row in team_c.csv: {'date': 'INVALID', 'amount': None, 'vendor': None, 'category': None}
2026-05-22 18:11:03,930 - WARNING - Bad row in team_b.csv: {'date': 'BROKEN_DATA', 'amount': None, 'vendor': None, 'category': None}
2026-05-22 18:11:03,930 - WARNING - Bad row in team_a.csv: {'date': 'BAD_ROW', 'amount': None, 'vendor': None, 'category': None}
2026-05-22 18:11:03,930 - WARNING - Bad row in team_c.csv: {'date': 'INVALID', 'amount': None, 'vendor': None, 'category': None}
